"Country Name",Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,Y2015,Y2020
"South Asia (IDA & IBRD)",572839530,637823175,713711358,800335570,900620583,1012942302,1133495194,1261587780,1390946065,1518861546,1638792927,1749417067,1856882402
"Sub-Saharan Africa (IDA & IBRD countries)",227233184,256059849,290526233,332583481,383188215,441988004,509451875,583413287,665327588,758924664,869025115,995458498,1136046775
"Trinidad and Tobago",847973,911742,945357,1010934,1084743,1170296,1221121,1254200,1267159,1296497,1328144,1370332,1399491
Tunisia,4178235,4547941,5063805,5656912,6374040,7329590,8242509,9125400,9708347,10106778,10635245,11179951,11818618
Turkey,27472339,30972996,34876296,39277249,43975972,49133928,53921758,58486453,63240196,67903461,72326992,78529413,84339067
Tuvalu,5321,5388,5740,6064,7631,8211,8910,9298,9392,9997,10521,11099,11792
Tanzania,10052151,11634837,13535487,15885228,18538263,21633799,25203848,29649128,33499177,38450323,44346532,51482638,59734213
Uganda,6767092,7986062,9405606,10737403,12442333,14559357,17354395,20413157,23650159,27684590,32428164,38225447,45741000
Ukraine,42664646,45264552,47088862,48755662,49965872,50917000,51891400,51512800,49176500,47105171,45870741,45154036,44134693
"Upper middle income",1136464260,1238612642,1396278485,1551563310,1676276374,1809328983,1954958255,2077356163,2183127334,2267614832,2346561398,2442625596,2522438267
Uruguay,2538648,2694537,2809799,2830172,2915389,3011519,3109598,3224275,3319734,3321799,3359273,3412013,3473727
"United States",180671000,194303000,205052000,215973000,227225000,237924000,249623000,266278000,282162411,295516599,309327143,320738994,331501080
Uzbekistan,8526299,10116870,12080311,13857469,15898760,18061283,20510000,22785000,24650400,26167000,28562400,31298900,34232050
"St. Vincent and the Grenadines",80970,86009,90501,95665,100566,104503,107489,108043,107787,108617,108260,109135,110947
"Venezuela, RB",8141839,9692281,11396396,13189511,15182616,17319513,19632665,21931087,24192449,26432445,28439942,30081827,28435943
"British Virgin Islands",8053,8836,9830,10697,11471,13951,17489,19307,20313,23106,27796,29148,30237
"Virgin Islands (U.S.)",32500,43500,63476,94484,99636,100760,103963,107818,108642,108453,108357,107712,106290
Vietnam,32670048,37858947,43404802,48718190,54281841,60896732,67988855,74910462,79910411,83832662,87967655,92677082,97338583
Vanuatu,63689,74268,85374,99863,115598,129989,146575,168161,184964,209282,236216,271128,307150
World,3032156070,3322046795,3681975908,4062507027,4432963653,4839176734,5280062644,5706753581,6114324044,6511724848,6921854591,7347679005,7763498647
Samoa,108627,127055,143146,151353,155522,159995,162797,170050,174454,179722,185944,193510,198410
Kosovo,947000,1078000,1219000,1369000,1521000,1682000,1862000,2029000,1700000,1705780,1775680,1788196,1790133
"Yemen, Rep.",5315351,5727745,6193379,6784699,7941903,9572170,11709987,14913313,17409071,20107416,23154854,26497881,29825968
"South Africa",17099836,19384838,22069783,25195184,28556771,32678876,36800507,41435761,44967713,47880595,51216967,55386369,59308690
Zambia,3070780,3570466,4179062,4943279,5851818,6923148,8036849,9096608,10415942,11856244,13605986,15879370,18383956
Zimbabwe,3776679,4471178,5289312,6293875,7408630,8877489,10432409,11410721,11881482,12076697,12697728,13814642,14862927
